Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	7	1	1121[e]	wə·liḇ·nê	וְלִבְנֵ֣י	Now the sons	Noun
1 Chronicles	7	1	3485[e]	yi·śā·š·ḵār,	יִשָׂשכָ֗ר	of Issachar [were]	Noun
1 Chronicles	7	1	8439[e]	tō·w·lā‘	תּוֹלָ֧ע	Tola	Noun
1 Chronicles	7	1	6312[e]	ū·p̄ū·’āh	וּפוּאָ֛ה	and Puah	Noun
1 Chronicles	7	1		[yā·šîḇ	[יָשִׁיב	 - 	 
1 Chronicles	7	1		ḵ]	כ]	 - 	 
1 Chronicles	7	1	3437[e]	(yā·šūḇ	(יָשׁ֥וּב	Jashub	Noun
1 Chronicles	7	1		q)	ק)	 - 	 
1 Chronicles	7	1	8110[e]	wə·šim·rō·wn	וְשִׁמְר֖וֹן	and Shimrom	Noun
1 Chronicles	7	1	702[e]	’ar·bā·‘āh.	אַרְבָּעָֽה׃	four	Noun
1 Chronicles	7	1		s	ס	 - 	 
1 Chronicles	7	2	1121[e]	ū·ḇə·nê	וּבְנֵ֣י	and the sons	Noun
1 Chronicles	7	2	8439[e]	ṯō·w·lā‘,	תוֹלָ֗ע	of Tola	Noun
1 Chronicles	7	2	5813[e]	‘uz·zî	עֻזִּ֡י	Uzzi	Noun
1 Chronicles	7	2	7509[e]	ū·rə·p̄ā·yāh	וּרְפָיָ֡ה	and Rephaiah	Noun
1 Chronicles	7	2	3400[e]	wî·rî·’êl	וִֽ֠ירִיאֵל	Jeriel	Noun
1 Chronicles	7	2	3181[e]	wə·yaḥ·may	וְיַחְמַ֨י	and Jahmai	Noun
1 Chronicles	7	2	3005[e]	wə·yiḇ·śām	וְיִבְשָׂ֜ם	and Jibsam	Noun
1 Chronicles	7	2	8050[e]	ū·šə·mū·’êl,	וּשְׁמוּאֵ֗ל	and Shemuel	Noun
1 Chronicles	7	2	7218[e]	rā·šîm	רָאשִׁ֤ים	heads	Noun
1 Chronicles	7	2	1004[e]	lə·ḇêṯ-	לְבֵית־	house	Noun
1 Chronicles	7	2	1[e]	’ă·ḇō·w·ṯām	אֲבוֹתָם֙	of their father	Noun
1 Chronicles	7	2	8439[e]	lə·ṯō·w·lā‘,	לְתוֹלָ֔ע	[to wit] of Tola	Noun
1 Chronicles	7	2	1368[e]	gib·bō·w·rê	גִּבּ֥וֹרֵי	[they were] valiant men	Adj
1 Chronicles	7	2	2428[e]	ḥa·yil	חַ֖יִל	of might	Noun
1 Chronicles	7	2	8435[e]	lə·ṯō·lə·ḏō·w·ṯām;	לְתֹלְדוֹתָ֑ם	in their generations	Noun
1 Chronicles	7	2	4557[e]	mis·pā·rām	מִסְפָּרָם֙	whose number	Noun
1 Chronicles	7	2	3117[e]	bî·mê	בִּימֵ֣י	in the days	Noun
1 Chronicles	7	2	1732[e]	ḏā·wîḏ,	דָוִ֔יד	of David	Noun
1 Chronicles	7	2	6242[e]	‘eś·rîm-	עֶשְׂרִֽים־	twenty	Noun
1 Chronicles	7	2	8147[e]	ū·šə·na·yim	וּשְׁנַ֥יִם	and two	Noun
1 Chronicles	7	2	505[e]	’e·lep̄	אֶ֖לֶף	thousand	Noun
1 Chronicles	7	2	8337[e]	wə·šêš	וְשֵׁ֥שׁ	and six	Noun
1 Chronicles	7	2	3967[e]	mê·’ō·wṯ.	מֵאֽוֹת׃	hundred	Noun
1 Chronicles	7	2		s	ס	 - 	 
1 Chronicles	7	3	1121[e]	ū·ḇə·nê	וּבְנֵ֥י	and the sons	Noun
1 Chronicles	7	3	5813[e]	‘uz·zî	עֻזִּ֖י	of Uzzi	Noun
1 Chronicles	7	3	3156[e]	yiz·raḥ·yāh;	יִֽזְרַֽחְיָ֑ה	Izrahiah	Noun
1 Chronicles	7	3	1121[e]	ū·ḇə·nê	וּבְנֵ֣י	and the sons	Noun
1 Chronicles	7	3	3156[e]	yiz·raḥ·yāh,	יִֽזְרַֽחְיָ֗ה	of Izrahiah	Noun
1 Chronicles	7	3	4317[e]	mî·ḵā·’êl	מִֽיכָאֵ֡ל	Michael	Noun
1 Chronicles	7	3	5662[e]	wə·‘ō·ḇaḏ·yāh	וְ֠עֹבַדְיָה	and Obadiah	Noun
1 Chronicles	7	3	3100[e]	wə·yō·w·’êl	וְיוֹאֵ֧ל	and Joel	Noun
1 Chronicles	7	3	3449[e]	yiš·šî·yāh	יִשִּׁיָּ֛ה	Ishiah	Noun
1 Chronicles	7	3	2568[e]	ḥă·miš·šāh	חֲמִשָּׁ֖ה	five	Noun
1 Chronicles	7	3	7218[e]	rā·šîm	רָאשִׁ֥ים	of them chief	Noun
1 Chronicles	7	3	3605[e]	kul·lām.	כֻּלָּֽם׃	all	Noun
1 Chronicles	7	4	5921[e]	wa·‘ă·lê·hem	וַעֲלֵיהֶ֨ם	And with	Prep
1 Chronicles	7	4	8435[e]	lə·ṯō·lə·ḏō·w·ṯām	לְתֹלְדוֹתָ֜ם	With them by their generations	Noun
1 Chronicles	7	4	1004[e]	lə·ḇêṯ	לְבֵ֣ית	after the house	Noun
1 Chronicles	7	4	1[e]	’ă·ḇō·w·ṯām,	אֲבוֹתָ֗ם	of their fathers [were]	Noun
1 Chronicles	7	4	1416[e]	gə·ḏū·ḏê	גְּדוּדֵי֙	bands	Noun
1 Chronicles	7	4	6635[e]	ṣə·ḇā	צְבָ֣א	of soldiers	Noun
1 Chronicles	7	4	4421[e]	mil·ḥā·māh,	מִלְחָמָ֔ה	for war	Noun
1 Chronicles	7	4	7970[e]	šə·lō·šîm	שְׁלֹשִׁ֥ים	thirty	Noun
1 Chronicles	7	4	8337[e]	wə·šiš·šāh	וְשִׁשָּׁ֖ה	and six	Noun
1 Chronicles	7	4	505[e]	’ā·lep̄;	אָ֑לֶף	thousand	Noun
1 Chronicles	7	4	3588[e]	kî-	כִּֽי־	for	Conj
1 Chronicles	7	4	7235[e]	hir·bū	הִרְבּ֥וּ	[men] they had many	Verb
1 Chronicles	7	4	802[e]	nā·šîm	נָשִׁ֖ים	wives	Noun
1 Chronicles	7	4	1121[e]	ū·ḇā·nîm.	וּבָנִֽים׃	and sons	Noun
1 Chronicles	7	5	251[e]	wa·’ă·ḥê·hem,	וַאֲחֵיהֶ֗ם	And their brothers	Noun
