Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	16	1	935[e]	way·yā·ḇî·’ū	וַיָּבִ֙יאוּ֙	so they brought	Verb
1 Chronicles	16	1	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	16	1	727[e]	’ă·rō·wn	אֲר֣וֹן	the ark	Noun
1 Chronicles	16	1	430[e]	hā·’ĕ·lō·hîm,	הָֽאֱלֹהִ֔ים	of God	Noun
1 Chronicles	16	1	3322[e]	way·yaṣ·ṣî·ḡū	וַיַּצִּ֣יגוּ	and set	Verb
1 Chronicles	16	1	853[e]	’ō·ṯōw,	אֹת֔וֹ	it	Acc
1 Chronicles	16	1	8432[e]	bə·ṯō·wḵ	בְּת֣וֹךְ	[is] in the middle	Noun
1 Chronicles	16	1	168[e]	hā·’ō·hel,	הָאֹ֔הֶל	of the tent	Noun
1 Chronicles	16	1	834[e]	’ă·šer	אֲשֶׁ֥ר	that	Prt
1 Chronicles	16	1	5186[e]	nā·ṭāh-	נָֽטָה־	had pitched	Verb
1 Chronicles	16	1		lōw	ל֖וֹ	to	Prep
1 Chronicles	16	1	1732[e]	dā·wîḏ;	דָּוִ֑יד	David	Noun
1 Chronicles	16	1	7126[e]	way·yaq·rî·ḇū	וַיַּקְרִ֛יבוּ	and they offered	Verb
1 Chronicles	16	1	5930[e]	‘ō·lō·wṯ	עֹל֥וֹת	burnt sacrifices	Noun
1 Chronicles	16	1	8002[e]	ū·šə·lā·mîm	וּשְׁלָמִ֖ים	and peace offerings	Noun
1 Chronicles	16	1	6440[e]	lip̄·nê	לִפְנֵ֥י	before	Noun
1 Chronicles	16	1	430[e]	hā·’ĕ·lō·hîm.	הָאֱלֹהִֽים׃	God	Noun
1 Chronicles	16	2	3615[e]	way·ḵal	וַיְכַ֣ל	when had finished	Verb
1 Chronicles	16	2	1732[e]	dā·wîḏ,	דָּוִ֔יד	David	Noun
1 Chronicles	16	2	5927[e]	mê·ha·‘ă·lō·wṯ	מֵהַעֲל֥וֹת	of offering	Verb
1 Chronicles	16	2	5930[e]	hā·‘ō·lāh	הָעֹלָ֖ה	the burnt offerings	Noun
1 Chronicles	16	2	8002[e]	wə·haš·šə·lā·mîm;	וְהַשְּׁלָמִ֑ים	and the peace offerings	Noun
1 Chronicles	16	2	1288[e]	way·ḇā·reḵ	וַיְבָ֥רֶךְ	and he blessed	Verb
1 Chronicles	16	2	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	16	2	5971[e]	hā·‘ām	הָעָ֖ם	the people	Noun
1 Chronicles	16	2	8034[e]	bə·šêm	בְּשֵׁ֥ם	in the name	Noun
1 Chronicles	16	2	3068[e]	Yah·weh.	יְהוָֽה׃	of the LORD	Noun
1 Chronicles	16	3	2505[e]	way·ḥal·lêq	וַיְחַלֵּק֙	And he dealt	Verb
1 Chronicles	16	3	3605[e]	lə·ḵāl	לְכָל־	to everyone	Noun
1 Chronicles	16	3	376[e]	’îš	אִ֣ישׁ	man	Noun
1 Chronicles	16	3	3478[e]	yiś·rā·’êl,	יִשְׂרָאֵ֔ל	of Israel	Noun
1 Chronicles	16	3	376[e]	mê·’îš	מֵאִ֖ישׁ	to everyone	Noun
