Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	24	1	1121[e]	wə·liḇ·nê	וְלִבְנֵ֥י	and of the sons	Noun
1 Chronicles	24	1	175[e]	’a·hă·rōn	אַהֲרֹ֖ן	of Aaron	Noun
1 Chronicles	24	1	4256[e]	maḥ·lə·qō·w·ṯām;	מַחְלְקוֹתָ֑ם	[these are] Now the divisions	Noun
1 Chronicles	24	1	1121[e]	bə·nê	בְּנֵ֣י	The sons	Noun
1 Chronicles	24	1	175[e]	’a·hă·rōn,	אַהֲרֹ֔ן	of Aaron	Noun
1 Chronicles	24	1	5070[e]	nā·ḏāḇ	נָדָב֙	Nadab	Noun
1 Chronicles	24	1	30[e]	wa·’ă·ḇî·hū,	וַאֲבִיה֔וּא	and Abihu	Noun
1 Chronicles	24	1	499[e]	’el·‘ā·zār	אֶלְעָזָ֖ר	Eleazar	Noun
1 Chronicles	24	1	385[e]	wə·’î·ṯā·mār.	וְאִיתָמָֽר׃	and Ithamar	Noun
1 Chronicles	24	2	4191[e]	way·yā·māṯ	וַיָּ֨מָת	But died	Verb
1 Chronicles	24	2	5070[e]	nā·ḏāḇ	נָדָ֤ב	Nadab	Noun
1 Chronicles	24	2	30[e]	wa·’ă·ḇî·hū	וַאֲבִיהוּא֙	and Abihu	Noun
1 Chronicles	24	2	6440[e]	lip̄·nê	לִפְנֵ֣י	before	Noun
1 Chronicles	24	2	1[e]	’ă·ḇî·hem,	אֲבִיהֶ֔ם	their father	Noun
1 Chronicles	24	2	1121[e]	ū·ḇā·nîm	וּבָנִ֖ים	and children	Noun
1 Chronicles	24	2	3808[e]	lō-	לֹא־	not	Adv
1 Chronicles	24	2	1961[e]	hā·yū	הָי֣וּ	do had	Verb
1 Chronicles	24	2	1992[e]	lā·hem;	לָהֶ֑ם	like	Pro
1 Chronicles	24	2	3547[e]	way·ḵa·hă·nū,	וַֽיְכַהֲנ֔וּ	and executed the priesthood	Verb
1 Chronicles	24	2	499[e]	’el·‘ā·zār	אֶלְעָזָ֖ר	therefore Eleazar	Noun
1 Chronicles	24	2	385[e]	wə·’î·ṯā·mār.	וְאִיתָמָֽר׃	and Ithamar	Noun
1 Chronicles	24	3	2505[e]	way·ye·ḥā·lə·qêm	וַיֶּֽחָלְקֵ֣ם	And distributed	Verb
1 Chronicles	24	3	1732[e]	dā·wîḏ,	דָּוִ֔יד	David them	Noun
1 Chronicles	24	3	6659[e]	wə·ṣā·ḏō·wq	וְצָדוֹק֙	both Zadok	Noun
1 Chronicles	24	3	4480[e]	min-	מִן־	of	Prep
1 Chronicles	24	3	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	24	3	499[e]	’el·‘ā·zār,	אֶלְעָזָ֔ר	of Eleazar	Noun
1 Chronicles	24	3	288[e]	wa·’ă·ḥî·me·leḵ	וַאֲחִימֶ֖לֶךְ	and Ahimelech	Noun
1 Chronicles	24	3	4480[e]	min-	מִן־	of	Prep
1 Chronicles	24	3	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	24	3	385[e]	’î·ṯā·mār;	אִיתָמָ֑ר	of Ithamar	Noun
1 Chronicles	24	3	6486[e]	lip̄·qud·dā·ṯām	לִפְקֻדָּתָ֖ם	according to their offices	Noun
1 Chronicles	24	3	5656[e]	ba·‘ă·ḇō·ḏā·ṯām.	בַּעֲבֹדָתָֽם׃	for their ministry	Noun
1 Chronicles	24	4	4672[e]	way·yim·mā·ṣə·’ū	וַיִּמָּצְא֣וּ	and found	Verb
1 Chronicles	24	4	1121[e]	ḇə·nê-	בְֽנֵי־	from the descendants	Noun
1 Chronicles	24	4	499[e]	’el·‘ā·zār	אֶלְעָזָ֡ר	of Eleazar	Noun
1 Chronicles	24	4	7227[e]	rab·bîm	רַבִּ֞ים	there were more	Adj
1 Chronicles	24	4	7218[e]	lə·rā·šê	לְרָאשֵׁ֧י	chief	Noun
1 Chronicles	24	4	1397[e]	hag·gə·ḇā·rîm	הַגְּבָרִ֛ים	men	Noun
1 Chronicles	24	4	4480[e]	min-	מִן־	than	Prep
1 Chronicles	24	4	1121[e]	bə·nê	בְּנֵ֥י	of the sons	Noun
1 Chronicles	24	4	385[e]	’î·ṯā·mār	אִיתָמָ֖ר	of Ithamar	Noun
1 Chronicles	24	4	2505[e]	way·yaḥ·lə·qūm;	וַֽיַּחְלְק֑וּם	[thus] and were they divided	Verb
1 Chronicles	24	4	1121[e]	liḇ·nê	לִבְנֵ֨י	of the descendants	Noun
