Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g1339	dee-is'-tay-mee	διΐστημι	diḯstēmi	[διΐστημι] from {{g1223}} and {{g2476}}; to stand apart, i.e. (reflexively) to remove, intervene	g1339
g1338	dee-ik-neh'-om-ahee	διϊκνέομαι	diïknéomai	[διϊκνέομαι] from {{g1223}} and the base of {{g2425}}; to reach through, i.e. penetrate	g1338
g1337	dee-thal'-as-sos	διθάλασσος	dithálassos	[διθάλασσος] from {{g1364}} and {{g2281}}; having two seas, i.e. a sound with a double outlet	g1337
g1336	dee-ay-nek-es'	διηνεκής	diēnekḗs	[διηνεκής] neuter of a compound of {{g1223}} and a derivative of an alternate of {{g5342}}; carried through, i.e. (adverbially with {{g1519}} and {{g3588}} prefixed) perpetually	g1336
g1335	dee-ayg'-es-is	διήγεσις	diḗgesis	[διήγεσις] from {{g1334}}; a recital	g1335
g1334	dee-ayg-eh'-om-ahee	διηγέομαι	diēgéomai	[διηγέομαι] from {{g1223}} and {{g2233}}; to relate fully	g1334
g1333	dee-et-ee'-a	διετία	dietía	[διετία] from {{g1332}}; a space of two years (biennium)	g1333
g1332	dee-et-ace'	διετής	dietḗs	[διετής] from {{g1364}} and {{g2094}}; of two years (in age)	g1332
g1331	dee-er-o-tah'-o	διερωτάω	dierōtáō	[διερωτάω] from {{g1223}} and {{g2065}}; to question throughout, i.e. ascertain by interrogation	g1331
g1330	dee-er'-khom-ahee	διέρχομαι	diérchomai	[διέρχομαι] from {{g1223}} and {{g2064}}; to traverse (literally)	g1330
g1328	dee-er-main-yoo-tace'	διερμηνευτής	diermēneutḗs	[διερμηνευτής] from {{g1329}}; an explainer	g1328
g1329	dee-er-main-yoo'-o	διερμηνεύω	diermēneúō	[διερμηνεύω] from {{g1223}} and {{g2059}}; to explain thoroughly, by implication, to translate	g1329
g1320	did-as'-kal-os	διδάσκαλος	didáskalos	[διδάσκαλος] from {{g1321}}; an instructor (genitive case or specially)	g1320
g1321	did-as'-ko	διδάσκω	didáskō	[διδάσκω] a prolonged (causative) form of a primary verb δάω (to learn); to teach (in the same broad application)	g1321
g1322	did-akh-ay'	διδαχή	didachḗ	[διδαχή] from {{g1321}}; instruction (the act or the matter)	g1322
g1323	did'-rakh-mon	δίδραχμον	dídrachmon	[δίδραχμον] from {{g1364}} and {{g1406}}; a double drachma (didrachm)	g1323
g1324	did'-oo-mos	Δίδυμος	Dídymos	[Δίδυμος] prolongation from {{g1364}}; double, i.e. twin; Didymus, a Christian	g1324
g1325	did'-o-mee	δίδωμι	dídōmi	[δίδωμι] a prolonged form of a primary verb (which is used as an alternative in most of the tenses); to give (used in a very wide application, properly, or by implication, literally or figuratively; greatly modified by the connection)	g1325
g1326	dee-eg-i'-ro	διεγείρω	diegeírō	[διεγείρω] from {{g1223}} and {{g1453}}; to wake fully; i.e. arouse (literally or figuratively)	g1326
g1327	dee-ex'-od-os	διέξοδος	diéxodos	[διέξοδος] from {{g1223}} and {{g1841}}; an outlet through, i.e. probably an open square (from which roads diverge)	g1327
g1400	doo'-lon	δοῦλον	doûlon	[δοῦλον] neuter of {{g1401}}; subservient	g1400
g1359	dee-os'-koo-roy	Διόσκουροι	Dióskouroi	[Διόσκουροι] from the alternate of {{g2203}} and a form of the base of {{g2877}}; sons of Jupiter, i.e. the twins Dioscuri	g1359
g1358	dee-or-oos'-so	διορύσσω	diorýssō	[διορύσσω] from {{g1223}} and {{g3736}}; to penetrate burglariously	g1358
g1355	dee-op'-er	διόπερ	dióper	[διόπερ] from {{g1352}} and {{g4007}}; on which very account	g1355
g1354	dee-on-oo'-see-os	Διονύσιος	Dionýsios	[Διονύσιος] from Διόνυσος (Bacchus); reveller; Dionysius, an Athenian	g1354
g1357	dee-or'-tho-sis	διόρθωσις	diórthōsis	[διόρθωσις] from a compound of {{g1223}} and a derivative of {{g3717}}, meaning to straighten thoroughly; rectification, i.e. (specially) the Messianic restauration	g1357
g1356	dee-op-et'-ace	διοπετής	diopetḗs	[διοπετής] from the alternate of {{g2203}} and the alternate of {{g4098}}; sky-fallen (i.e. an aerolite)	g1356
g1351	dil'-og-os	δίλογος	dílogos	[δίλογος] from {{g1364}} and {{g3056}}; equivocal, i.e. telling a different story	g1351
g1350	dik'-too-on	δίκτυον	díktyon	[δίκτυον] probably from a primary verb δίκω (to cast); a seine (for fishing)	g1350
g1353	dee-od-yoo'-o	διοδεύω	diodeúō	[διοδεύω] from {{g1223}} and {{g3593}}; to travel through	g1353
g1352	dee-o'	διό	dió	[διό] from {{g1223}} and {{g3739}}; through which thing, i.e. consequently	g1352
g1348	dik-as-tace'	δικαστής	dikastḗs	[δικαστής] from a derivative of {{g1349}}; a judger	g1348
