Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g799	as-oong'-kree-tos	Ἀσύγκριτος	Asýnkritos	[Ἀσύγκριτος] from {{g1}} (as a negative particle) and a derivative of {{g4793}}; incomparable; Asyncritus, a Christian	g799
g798	as'-tron	ἄστρον	ástron	[ἄστρον] neuter from {{g792}}; properly, a constellation; put for a single star (natural or artificial)	g798
g791	as-ti'-os	ἀστεῖος	asteîos	[ἀστεῖος] from ἄστυ (a city); urbane, i.e. (by implication) handsome	g791
g790	as-tat-eh'-o	ἀστατέω	astatéō	[ἀστατέω] from {{g1}} (as a negative particle) and a derivative of {{g2476}}; to be non-stationary, i.e. (figuratively) homeless	g790
g793	as-tay'-rik-tos	ἀστήρικτος	astḗriktos	[ἀστήρικτος] from {{g1}} (as a negative particle) and a presumed derivative of {{g4741}}; unfixed, i.e. (figuratively) vacillating	g793
g792	as-tare'	ἀστήρ	astḗr	[ἀστήρ] probably from the base of {{g4766}}; a star (as strown over the sky), literally or figuratively	g792
g795	as-tokh-eh'-o	ἀστοχέω	astochéō	[ἀστοχέω] from a compound of {{g1}} (as a negative particle) and στοίχος (an aim); to miss the mark, i.e. (figuratively) deviate from truth	g795
g794	as'-tor-gos	ἄστοργος	ástorgos	[ἄστοργος] from {{g1}} (as a negative particle) and a presumed derivative of στέργω (to cherish affectionately); hard-hearted towards kindred	g794
g797	as-trap'-to	ἀστράπτω	astráptō	[ἀστράπτω] probably from  {{g792}}; to flash as lightning	g797
g796	as-trap-ay'	ἀστραπή	astrapḗ	[ἀστραπή] from {{g797}}; lightning; by analogy, glare	g796
g711	ar-is-tob'-oo-los	Ἀριστόβουλος	Aristóboulos	[Ἀριστόβουλος] from the same as {{g712}} and {{g1012}}; best counselling; Aristoboulus, a Christian	g711
g710	ar-is-ter-os'	ἀριστερός	aristerós	[ἀριστερός] apparently a comparative of the same as {{g712}}; the left hand (as second-best)	g710
g713	ar-ket-os'	ἀρκετός	arketós	[ἀρκετός] from {{g714}}; satisfactory	g713
g712	ar'-is-ton	ἄριστον	áriston	"[ἄριστον] apparently neuter of a superlative from the same as {{g730}}; the best meal (or breakfast; perhaps from ἦρι (""early"")), i.e. luncheon"	g712
g715	ark'-tos	ἄρκτος	árktos	[ἄρκτος] probably from {{g714}}; a bear (as obstructing by ferocity)	g715
g714	ar-keh'-o	ἀρκέω	arkéō	[ἀρκέω] apparently a primary verb (but probably akin to {{g142}} through the idea of raising a barrier); properly, to ward off, i.e. (by implication) to avail (figuratively, be satisfactory)	g714
