Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h3512	kaw-aw'	כָּאָה	kâʼâh	a primitive root; to despond; causatively, to deject; broken, be grieved, make sad.	h3512
h3513	kaw-bad'	כָּבַד	kâbad	or כָּבֵד; a primitive root; to be heavy, i.e. in a bad sense (burdensome, severe, dull) or in a good sense (numerous, rich, honorable); causatively, to make weighty (in the same two senses); abounding with, more grievously afflict, boast, be chargeable, × be dim, glorify, be (make) glorious (things), glory, (very) great, be grievous, harden, be (make) heavy, be heavier, lay heavily, (bring to, come to, do, get, be had in) honour (self), (be) honourable (man), lade, × more be laid, make self many, nobles, prevail, promote (to honour), be rich, be (go) sore, stop.	h3513
h3510	kaw-ab'	כָּאַב	kâʼab	a primitive root; properly, to feel pain; by implication, to grieve; figuratively, to spoil; grieving, mar, have pain, make sad (sore), (be) sorrowful.	h3510
h3511	keh-abe'	כְּאֵב	kᵉʼêb	from {{h3510}}; suffering (physical or mental), adversity; grief, pain, sorrow.	h3511
h3516	kaw-bade'	כָּבֵד	kâbêd	the same as {{h3515}}; the liver (as the heaviest of the viscera); liver.	h3516
h3517	keb-ay-dooth'	כְּבֵדֻת	kᵉbêduth	feminine of {{h3515}}; difficulty; × heavily.	h3517
h3514	ko'-bed	כֹּבֶד	kôbed	from {{h3513}}; weight, multitude, vehemence; grievousness, heavy, great number.	h3514
h3515	kaw-bade'	כָּבֵד	kâbêd	from {{h3513}}; heavy; figuratively in a good sense (numerous) or in a bad sense (severe, difficult, stupid); (so) great, grievous, hard(-ened), (too) heavy(-ier), laden, much, slow, sore, thick.	h3515
h3518	kaw-baw'	כָּבָה	kâbâh	a primitive root; to expire or (causatively) to extinguish (fire, light, anger); go (put) out, quench.	h3518
h3519	kaw-bode'	כָּבוֹד	kâbôwd	rarely כָּבֹד; from {{h3513}}; properly, weight, but only figuratively in a good sense, splendor or copiousness; glorious(-ly), glory, honour(-able).	h3519
h3598	kee-maw'	כִּימָה	Kîymâh	from the same as {{h3558}}; a cluster of stars, i.e. the Pleiades; Pleiades, seven stars.	h3598
h3599	keece	כִּיס	kîyç	a form for {{h3563}}; a cup; also a bag for money or weights; bag, cup, purse.	h3599
h3592	kee-dohn'	כִּידוֹן	Kîydôwn	the same as {{h3591}}; Kidon, a place in Palestine; Chidon.	h3592
h3593	kee-dore'	כִּידוֹר	kîydôwr	of uncertain derivation; perhaps tumult; battle.	h3593
h3590	kee-dode'	כִידוֹד	kîydôwd	from the same as {{h3589}} (compare {{h3539}}); properly, something struck off, i.e. a spark (as struck); spark.	h3590
h3591	kee-dohn'	כִּידוֹן	kîydôwn	from the same as {{h3589}}; (perhaps smaller than {{h2595}}); properly, something to strike with, i.e. a dart; lance, shield, spear, target.	h3591
h3596	kee-lah'-ee	כִּילַי	kîylay	or כֵּלַי; from {{h3557}} in the sense of withholding; niggardly; churl.	h3596
h3597	kay-laf'	כֵּילַף	kêylaph	from an unused root meaning to clap or strike with noise; a club or sledge-hammer; hammer.	h3597
h3594	kee-yoon'	כִּיּוּן	Kîyûwn	from {{h3559}}; properly, a statue, i.e. idol; but used (by euphemism) for some heathen deity (perhaps corresponding to Priapus or Baal-peor); Chiun.	h3594
h3595	kee-yore'	כִּיּוֹר	kîyôwr	or כִּיֹּר; from the same as {{h3564}}; properly, something round (as excavated or bored), i.e. a chafing-dish for coals or a caldron for cooking; hence (from similarity of form) a washbowl; also (for the same reason) a pulpit or platform; hearth, laver, pan, scaffold.	h3595
h3529	keb-awr'	כְּבָר	Kᵉbâr	the same as {{h3528}}; length; Kebar, a river of Mesopotamia; Chebar. Compare {{h2249}}.	h3529
h3528	keb-awr'	כְּבָר	kᵉbâr	from {{h3527}}; properly, extent of time, i.e. a great while; hence, long ago, formerly, hitherto; already, (seeing that which), now.	h3528
h3527	kaw-bar'	כָּבַר	kâbar	a primitive root; properly, to plait together, i.e. (figuratively) to augment (especially in number or quantity, to accumulate); in abundance, multiply.	h3527
