Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g5580	psyoo-dokh'-ris-tos	ψευδόχριστος	pseudóchristos	[ψευδόχριστος] from {{g5571}} and {{g5547}}; a spurious Messiah	g5580
g5581	psyoo-do'-noo-mos	ψευδώνυμος	pseudṓnymos	[ψευδώνυμος] from {{g5571}} and {{g3686}}; untruly named	g5581
g5582	psyoos'-mah	ψεῦσμα	pseûsma	[ψεῦσμα] from {{g5574}}; a fabrication, i.e. falsehood	g5582
g5583	psyoos-tace'	ψεύστης	pseústēs	[ψεύστης] from {{g5574}}; a falsifier	g5583
g5584	psay-laf-ah'-o	ψηλαφάω	psēlapháō	[ψηλαφάω] from the base of {{g5567}} (compare {{g5586}}); to manipulate, i.e. verify by contact; figuratively, to search for	g5584
g5585	psay-fid'-zo	ψηφίζω	psēphízō	[ψηφίζω] from {{g5586}}; to use pebbles in enumeration, i.e. (generally) to compute	g5585
g5586	psay'-fos	ψῆφος	psēphos	[ψῆφος] from the same as {{g5584}}; a pebble (as worn smooth by handling), i.e. (by implication, of use as a counter or ballot) a verdict (of acquittal) or ticket (of admission); a vote	g5586
g5587	psith-oo-ris-mos'	ψιθυρισμός	psithyrismós	[ψιθυρισμός] from a derivative of ψίθος (a whisper; by implication, a slander; probably akin to {{g5574}}); whispering, i.e. secret detraction	g5587
g5588	psith-oo-ris-tace'	ψιθυριστής	psithyristḗs	[ψιθυριστής] from the same as {{g5587}}; a secret calumniator	g5588
g5589	psikh-ee'-on	ψιχίον	psichíon	[ψιχίον] diminutive from a derivative of the base of {{g5567}} (meaning a crumb); a little bit or morsel	g5589
g5519	khoy'-ros	χοῖρος	choîros	[χοῖρος] of uncertain derivation; a hog	g5519
g5518	khoy'-nix	χοῖνιξ	choînix	[χοῖνιξ] of uncertain derivation; a chœnix or certain dry measure	g5518
g5517	kho-ik-os'	χοϊκός	choïkós	[χοϊκός] from {{g5522}}; dusty or dirty (soil-like), i.e. (by implication) terrene	g5517
