Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h2771	kaw-rawn'	חָרָן	Chârân	from {{h2787}}; parched; Charan, the name of a man and also of a place; Haran.	h2771
h2770	kher-mashe'	חֶרְמֵשׁ	chermêsh	from {{h2763}}; a sickle (as cutting); sickle.	h2770
h2773	kho-ro-nah'-yim	חֹרֹנַיִם	Chôrônayim	dual of a derivative from {{h2356}}; double cave-town; Choronajim, a place in Moab; Horonaim.	h2773
h2772	kho-ro-nee'	חֹרֹנִי	Chôrônîy	patrial from {{h2773}}; a Choronite or inhabitant of Choronaim; Horonite.	h2772
h2775	kheh'-res	חֶרֶס	chereç	or (with a directive enclitic) חַרְסָה; from an unused root meaning to scrape; also perhaps from the mediating idea of {{h2777}}; the sun; sun.	h2775
h2774	khar-neh'fer	חַרְנֶפֶר	Charnepher	of uncertain derivation; Charnepher, an Israelite; Harnepher.	h2774
h2777	khar-sooth'	חַרְסוּת	charçûwth	from {{h2775}} (apparently in the sense of a red tile used for scraping); a potsherd, i.e. (by implication) a pottery; the name of a gate at Jerusalem; east.	h2777
h2776	kheh'-res	חֶרֶס	Chereç	the same as {{h2775}}; shining; Cheres, a mountain in Palestine; Heres.	h2776
h2779	kho'-ref	חֹרֶף	chôreph	from {{h2778}}; properly, the crop gathered, i.e. (by implication) the autumn (and winter) season; figuratively, ripeness of age; cold, winter (-house), youth.	h2779
h2778	khaw-raf'	חָרַף	châraph	"a primitive root; also	denominative (from {{h2779}}); to pull off, i.e. (by implication) to expose (as by stripping); specifically, to betroth (as if a surrender); figuratively, to carp at, i.e. defame; to spend the winter; betroth, blaspheme, defy, jeopard, rail, reproach, upbraid."	h2778
h2762	kheh'-rek	חֶרֶךְ	cherek	from {{h2760}}; properly, a net, i.e. (by analogy) lattice; lattice.	h2762
h2763	khaw-ram'	חָרַם	châram	a primitive root; to seclude; specifically (by a ban) to devote to religious uses (especially destruction); physical and reflexive, to be blunt as to the nose; make accursed, consecrate, (utterly) destroy, devote, forfeit, have a flat nose, utterly (slay, make away).	h2763
h2760	khaw-rak'	חָרַךְ	chârak	a primitive root; to braid (i.e. to entangle or snare) or catch (game) in a net; roast.	h2760
h2761	khar-ak'	חֲרַךְ	chărak	(Aramaic) a root probably allied to the equivalent of {{h2787}}; to scorch; singe.	h2761
h2766	khaw-reem'	חָרִם	Chârim	from {{h2763}}; snub-nosed; Charim, an Israelite; Harim.	h2766
h2767	khor-maw'	חׇרְמָה	Chormâh	from {{h2763}}; devoted; Chormah, a place in Palestine; Hormah.	h2767
h2764	khay'-rem	חֵרֶם	chêrem	or (Zechariah 14:11) חֶרֶם; from {{h2763}}; physical (as shutting in) a net (either literally or figuratively); usually a doomed object; abstractly extermination; (ac-) curse(-d, -d thing), dedicated thing, things which should have been utterly destroyed, (appointed to) utter destruction, devoted (thing), net.	h2764
h2765	khor-ame'	חֳרֵם	Chŏrêm	from {{h2763}}; devoted; Chorem, a place in Palestine; Horem.	h2765
h2768	kher-mone'	חֶרְמוֹן	Chermôwn	from {{h2763}}; abrupt; Chermon, a mount of Palestine; Hermon.	h2768
h2769	kher-mo-neem'	חֶרְמוֹנִים	Chermôwnîym	plural of {{h2768}}; Hermons, i.e. its peaks; the Hermonites.	h2769
h2759	khar-ee-shee'	חֲרִישִׁי	chărîyshîy	from {{h2790}} in the sense of silence; quiet, i.e. sultry (as feminine noun, the sirocco or hot east wind); vehement.	h2759
h2758	khaw-reesh'	חָרִישׁ	chârîysh	from {{h2790}}; ploughing or its season; earing (time), ground.	h2758
h2757	khaw-reets'	חָרִיץ	chârîyts	or חֲרִץ; from {{h2782}}; (compare {{h2742}}); properly, incisure or (passively) incised; hence, a threshing-sledge (with sharp teeth); also a slice (as cut); cheese, harrow.	h2757
h2756	khaw-reef'	חָרִיף	Chârîyph	from {{h2778}}; autumnal; Chariph, the name of two Israelites; Hariph.	h2756
h2755	khar-ay'-yo-neem'	חֲרֵי־יוֹנִים	chărêy-yôwnîym	from the plural of {{h2716}} and the plural of {{h3123}}; or perhaps rather the plural of a single word חֲרָאיוֹן, probably a kind of vegetable; excrements of doves; doves' dung.	h2755
h2754	khaw-reet'	חָרִיט	chârîyṭ	or חָרִט; from the same as {{h2747}}; properly, cut out (or hollow), i.e. (by implication) a pocket; bag, crisping pin.	h2754
h2753	kho-ree'	חֹרִי	Chôrîy	or חוֹרִי; the same as {{h2752}}; Chori, the name of two men; Hori.	h2753
h2752	kho-ree'	חֹרִי	Chôrîy	from {{h2356}}; cave-dweller or troglodyte; a Chorite or aboriginal Idumaean; Horims, Horites.	h2752
h2751	kho-ree'	חֹרִי	chôrîy	from the same as {{h2353}}; white bread; white.	h2751
h2750	khor-ee'	חֳרִי	chŏrîy	from {{h2734}}; a burning (i.e. intense) anger; fierce, × great, heat.	h2750
h2748	khar-tome'	חַרְטֹם	charṭôm	from the same as {{h2747}}; a horoscopist (as drawing magical lines or circles); magician.	h2748
h2749	khar-tome'	חַרְטֹם	charṭôm	(Aramaic) the same as {{h2748}}; magician.	h2749
h2740	khaw-rone'	חָרוֹן	chârôwn	or (shortened) חָרֹן; from {{h2734}}; a burning of anger; sore displeasure, fierce(-ness), fury, (fierce) wrath(-ful).	h2740
