Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h3459	yish-maw-ay-lee'	יִשְׁמָעֵאלִי	Yishmâʻêʼlîy	patronymically from {{h3458}}; a Jishmaelite or descendant of Jishmael; Ishmaelite.	h3459
h3458	yish-maw-ale'	יִשְׁמָעֵאל	Yishmâʻêʼl	from {{h8085}} and {{h410}}; God will hear; Jishmael, the name of Abraham's oldest son, and of five Israelites; Ishmael.	h3458
h3453	yaw-sheesh'	יָשִׁישׁ	yâshîysh	from {{h3486}}; an old man; (very) aged (man), ancient, very old.	h3453
h3452	yesh-ee-mone'	יְשִׁימוֹן	yᵉshîymôwn	from {{h3456}}; a desolation; desert, Jeshimon, solitary, wilderness.	h3452
h3451	yesh-ee-maw'	יְשִׁימַה	yᵉshîymah	from {{h3456}}; desolation; let death seize (from the margin).	h3451
h3450	yes-eem-aw-ale'	יְשִׁימָאֵל	Yᵉshîymâʼêl	from {{h7760}} and {{h410}}; God will place; Jesimael, an Israelite; Jesimael.	h3450
h3457	yish-maw'	יִשְׁמָא	Yishmâʼ	from {{h3456}}; desolate; Jishma, an Israelite; Ishma.	h3457
h3456	yaw-sham'	יָשַׁם	yâsham	a primitive root; to lie waste; be desolate.	h3456
h3455	yaw-sam'	יָשַׂם	yâsam	a primitive root; to place; intransitively, to be placed; be put (set).	h3455
h3454	yesh-ee-shah'-ee	יְשִׁישָׁי	Yᵉshîyshây	from {{h3453}}; aged; Jeshishai, an Israelite; Jeshishai.	h3454
h3444	yesh-oo'-aw	יְשׁוּעָה	yᵉshûwʻâh	feminine passive participle of {{h3467}}; something saved, i.e. (abstractly) deliverance; hence, aid, victory, prosperity; deliverance, health, help(-ing), salvation, save, saving (health), welfare.	h3444
h3445	yeh'-shakh	יֶשַׁח	yeshach	from an unused root meaning to gape (as the empty stomach); hunger; casting down.	h3445
h3446	yis-khawk'	יִשְׂחָק	Yischâq	from {{h7831}}; he will laugh; Jischak, the heir of Abraham; Isaac. Compare {{h3327}}.	h3446
h3447	yaw-shat'	יָשַׁט	yâshaṭ	a primitive root; to extend; hold out.	h3447
h3440	yish-vee'	יִשְׁוִי	Yishvîy	from {{h7737}}; level; Jishvi, the name of two Israelites; Ishuai, Ishvi, Isui, Jesui.	h3440
h3441	yish-vee'	יִשְׁוִי	Yishvîy	patronymically from {{h3440}}; a Jishvite (collectively) or descendants of Jishvi; Jesuites.	h3441
h3442	yay-shoo'-ah	יֵשׁוּעַ	Yêshûwaʻ	for {{h3091}}; he will save; Jeshua, the name of ten Israelites, also of a place in Palestine; Jeshua.	h3442
h3443	yay-shoo'-ah	יֵשׁוּעַ	Yêshûwaʻ	(Aramaic) corresponding to {{h3442}}; Jeshua.	h3443
h3448	yee-shah'-ee	יִשַׁי	Yishay	by Aramaic אִישַׁי; from the same as {{h3426}}; extant; Jishai, David's father; Jesse.	h3448
h3449	yish-shee-yaw'	יִשִּׁיָּה	Yishshîyâh	or יִשִּׁיָּהוּ; from {{h5383}} and {{h3050}}; Jah will lend; Jishshijah, the name of five Israelites; Ishiah, Isshiah, Ishijah, Jesiah.	h3449
h3431	yish-bakh'	יִשְׁבַּח	Yishbach	from {{h7623}}; he will praise; Jishbach, an Israelite; Ishbah.	h3431
h3430	yish-bo'beh-nobe	יִשְׁבּוֹ בְּנֹב	Yishbôw bᵉ-Nôb	from {{h3427}} and {{h5011}}, with a pronominal suffix and a preposition interposed; his dwelling (is) in Nob; Jishbo-be-Nob, a Philistine; Ishbi-benob (from the margin).	h3430
h3433	yaw-shoo-bee' leh'-khem	יָשֻׁבִי לֶחֶם	Yâshubîy Lechem	from {{h7725}} and {{h3899}}; returner of bread; Jashubi-Lechem, an Israelite; Jashubi-lehem. (Prob. the text should be pointed יֹשְׁבֵי לֶחֶם and rendered '(they were) inhabitants of Lechem,' i.e. of Bethlehem (by contraction). Compare {{h3902}}).	h3433
h3432	yaw-shoo-bee'	יָשֻׁבִי	Yâshubîy	patronymically from {{h3437}}; a Jashubite, or descendant of Jashub; Jashubites.	h3432
h3435	yish-bawk'	יִשְׁבָּק	Yishbâq	from an unused root corresponding to {{h7662}}; he will leave; Jishbak, a son of Abraham; Ishbak.	h3435
h3434	yaw-shob-awm'	יָשׇׁבְעָם	Yâshobʻâm	from {{h7725}} and {{h5971}}; people will return; Jashobam, the name of two or three Israelites; Jashobeam.	h3434
h3437	yaw-shoob'	יָשׁוּב	Yâshûwb	or יָשִׁיב; from {{h7725}}; he will return; Jashub, the name of two Israelites; Jashub.	h3437
h3436	yosh-bek-aw-shaw'	יׇשְׁבְּקָשָׁה	Yoshbᵉqâshâh	from {{h3427}} and {{h7186}}; a hard seat; Joshbekashah, an Israelite; Joshbekashah.	h3436
h3439	yesh-o-khaw-yaw'	יְשׁוֹחָיָה	Yᵉshôwchâyâh	from the same as {{h3445}} and {{h3050}}; Jah will empty; Jeshochajah, an Israelite; Jeshoaiah.	h3439
h3438	yish-vaw'	יִשְׁוָה	Yishvâh	from {{h7737}}; he will level; Jishvah, an Israelite; Ishvah, Isvah.	h3438
h3422	yer-ak-rak'	יְרַקְרַק	yᵉraqraq	from the same as {{h3418}}; yellowishness; greenish, yellow.	h3422
h3423	yaw-rash'	יָרַשׁ	yârash	or יָרֵשׁ; a primitive root; to occupy (by driving out previous tenants, and possessing in their place); by implication, to seize, to rob, to inherit; also to expel, to impoverish, to ruin; cast out, consume, destroy, disinherit, dispossess, drive(-ing) out, enjoy, expel, × without fail, (give to, leave for) inherit(-ance, -or)   magistrate, be (make) poor, come to poverty, (give to, make to) possess, get (have) in (take) possession, seize upon, succeed, × utterly.	h3423
h3420	yay-raw-kone'	יֵרָקוֹן	yêrâqôwn	from {{h3418}}; paleness, whether of persons (from fright), or of plants (from drought); greenish, yellow.	h3420
